"tsmc"
"阅读与感知 : 人文地理笔记"
"中国分省地图集"
"影像中的新疆 : 区域文化身份的影像表达与建构"
"剧本写作初级教程"
"中国电影中的云南形象研究"
"影视基地发展理论与实践探索"
"民族电影的产业化 : 云南的历史、实践和理论"
"城市地理学核心概念 = = Key concepts in urban geography"
"区域中国与文化中国 : 文明对话中的施坚雅模式"
"古文观止 . 上 : 插图珍藏本"
"当代西方电影理论精选"
"中国文化地理纲要"
"中国文化地理"
"“一带一路”沿线国家文化概览 = = Cultural overview of countries along the Belt and Road"
"拉片子 = = Perusal of selection screenwriting discourse : 电影电视编剧讲义"
"黑色幽默与美国小说的幽默传统"
"新中国银幕上的共产党人"
"喜剧难写 : 一位好莱坞编剧的真实告白 = = Writing the comedy blockbuster the inappropriate goal"
"喜剧 : 春天的神话"
"电视剧创作手册"
"戏剧本体论"
"吃瓜时代的儿女们"
"城市文化论纲"
"生命册"
"经典电影理论导论 = = The major film theories"
"影像的哲学 : 西方影视美学理论"
"城市文化读本 = = The City Culture Studies: A Reader"
"城市与城市文化 = = Cities and urban cultures"
"传播学入门"
"传播学关键词"
"传播学是什么 = [What is communication]"
"为银幕的人间观察 : 北京电影学院文学系社会实践调查报告评点集"
"硕士论文写作"
"回忆主席与战友"
"新的探索和整风反右 : 吴冷西回忆录之一"
"意识形态与乌托邦 : 当代影视文化研究的理论与方法"
"西方都市文化研究读本 = = The Urban Culture Studies Reader . 第三卷"
"西方都市文化研究读本 = = The Urban Culture Studies Reader . 第一卷"
"疯癫与文明 : 理性时代的疯癫史"
"反乌托邦"
"奇趣地理 : 教科书上未必有"
"第五代电影：现代性的追求与反思"
"列菲伏尔空间批判理论研究 = = A study of Lefebvre's critical theory of space"
"身体、空间与后现代性 = = Body, space and postmodernity"
"权力与建筑 = = The edifice complex"
"理解空间 : 现代空间观念的批判与重构"
"城市秩序 : 城市、文化与权力导论"
"文化研究的未来 = = Cultural studies in the future tense"
"现代性、后现代性和全球化"
"电影研究关键词 = = Cinema studies:the key concepts"
"大卫·哈维城市空间思想研究"
"空间的诗学 = = La poetique de la I'espace"
"2001-2010中国电影学研究报告 = = Chinese film studies research report from 2001 to 2010"
"电影美学导论"
"影视美学教程"
"影视美学"
"电影美学形态研究"
"现代电影美学体系"
"电影美学分析原理"
"电视剧写作概论"
"影视剧作元素与技巧"
"美学是什么 = = What is aesthetics"
"幽默的力量"
"现代生活的英雄 : 论现实主义"
"孤独之间 : 一部另类艺术史 = = The space between solitudes"
"电影理论史评"
"幽默学原理"
